publication_id	publication	time	time_slice_id	type	subfield_id	subdomain_id
100	ZALD_1966_S_327	1966	0	ARTICLE	1	0
101	ADAMS_1967_S_64	1967	0	ARTICLE	1	4
102	BESHERS_1967_A_225	1967	0	ARTICLE	3	3
103	DAVIS_1967_H_181	1967	0	ARTICLE	2	2
104	HOLMES_1967_J_213	1967	0	ARTICLE	4	4
105	JOHNSON_1967_P_241	1967	0	ARTICLE	3	2
106	LAWRENCE_1967_A_1	1967	0	ARTICLE	1	0
107	MANTEL_1967_C_209	1967	0	ARTICLE	2	2
108	MILGRAM_1967_P_61	1967	0	ARTICLE	2	2
109	TILLY_1967_I_139	1967	0	ARTICLE	1	4
110	TURNER_1967_H_121	1967	0	ARTICLE	4	4
111	CONWAY_1968_D_28	1968	0	ARTICLE	1	-1
112	GARBETT_1968_S_313	1968	0	ARTICLE	0	4
113	HARDIN_1968_S_1243	1968	0	ARTICLE	2	-1
114	KAIN_1968_Q_175	1968	0	ARTICLE	4	-1
115	LOWENTHA_1968_A_20	1968	0	ARTICLE	4	4
116	MERTON_1968_S_56	1968	0	ARTICLE	1	0
117	MULLINS_1968_A_786	1968	0	ARTICLE	2	2
118	ALLEN_1969_A_12	1969	0	ARTICLE	2	0
119	ARNSTEIN_1969_J_216	1969	0	ARTICLE	1	-1
120	BARNES_1969_S_215	1969	0	ARTICLE	2	2
121	BASS_1969_M_215	1969	0	ARTICLE	2	0
122	BLOOD_1969_M_171	1969	0	ARTICLE	2	4
123	CRANE_1969_A_335	1969	0	ARTICLE	3	1
124	DAFERMOS_1969_J_91	1969	0	CHAPTER	2	2
125	KAUFFMAN_1969_J_437	1969	0	ARTICLE	4	-1
126	LAWTON_1969_G_179	1969	0	ARTICLE	4	4
127	LAWTON_1969_G_9	1969	0	ARTICLE	4	4
128	LITWAK_1969_A_465	1969	0	ARTICLE	4	4
129	SCHELLIN_1969_A_488	1969	0	ARTICLE	2	-1
130	SPECK_1969_F_182	1969	0	ARTICLE	4	4
131	STEBBINS_1969_C_1	1969	0	ARTICLE	0	4
132	TODARO_1969_A_138	1969	0	ARTICLE	2	2
133	TRAVERS_1969_S_425	1969	0	ARTICLE	2	2
134	WEISS_1969_T_36	1969	0	ARTICLE	1	4
135	WOOD_1969_J_465	1969	0	ARTICLE	4	4
136	AKERLOF_1970_Q_488	1970	0	ARTICLE	1	-1
137	ARONSON_1970_C_221	1970	0	ARTICLE	4	4
138	ARONSON_1970_C_258	1970	0	ARTICLE	1	4
139	BLOOM_1970_C_422	1970	0	ARTICLE	2	-1
